ID,Locality,Assemblage,GeoLayer.Name,Country,Locality.Type,X,Y,Technocomplex,Geostrat..Info..age.min,Geostrat..Info..age.max,Geostrat..Info..correlation,Geostrat..Info..mis,NISP.Sum.class.Mammalia,NISP.Sum.order.Rodentia,NISP.Sum.family.Anatidae,Alces_NISP,Bison_NISP,Bos_NISP,Canis_NISP,Capra_NISP,Capreolus_NISP,Cervus_NISP,Coelodonta_NISP,Dama_NISP,Equus_NISP,Mammuthus_NISP,Megaloceros_NISP,Ovibos_NISP,Ovis_NISP,Palaeoloxodon_NISP,Rangifer_NISP,Saiga_NISP,Stephanorhinus_NISP,Sus_NISP,Ursus_NISP,Panthera_NISP,meanage,sdage,totalNISP,millie,RD_Suitability
8354,Paglicci,Paglicci Layer 20d Fauna,Layer 20,Italy,cave,15.5533,41.6904,UP/ Gravettian,21250,23040,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,529,0,NA,0,0,0.00945,0,0.68431,0,0.0586,0,0,0.24575,0,0,0,0,0,0,0,0,0.00189,0,0,26368,1,529,26000,0.372963965
8355,Paglicci,Paglicci Layer 20e Fauna,Layer 20,Italy,cave,15.5533,41.6904,UP/ Gravettian,21250,23040,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,742,0,NA,0,0,0.02156,0,0.76415,0,0.04447,0,0,0.16173,0,0,0,0,0,0,0,0,0.00809,0,0,26368,1,742,26000,0.372963965
8357,Paglicci,Paglicci Layer 21b Fauna,Layer 21,Italy,cave,15.5533,41.6904,UP/ Gravettian,23040,26800,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,729,0,NA,0,0,0.03841,0,0.65295,0,0.01235,0,0,0.28669,0,0,0,0,0,0,0,0,0.0096,0,0,27808,1,729,28000,0.347441584
8359,Paglicci,Paglicci Layer 21d Fauna,Layer 21,Italy,cave,15.5533,41.6904,UP/ Gravettian,23040,26800,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,230,0,NA,0,0,0.06087,0,0.38261,0,0.02174,0,0,0.51739,0,0,0,0,0,0,0,0,0.01739,0,0,27808,1,230,28000,0.347441584
8370,Paglicci,Paglicci Layer 18 b2 Fauna,Layer 18b,Italy,cave,15.5533,41.6904,UP/ Gravettian,19000,20730,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,492,0,NA,0,0,0.14837,0,0.39024,0,0.02033,0,0,0.41057,0,0,0,0,0,0,0,0,0.03049,0,0,24183,1,492,24000,0.378656596
8371,Paglicci,Paglicci Layer 18 b9 Fauna,Layer 18b,Italy,cave,15.5533,41.6904,UP/ Gravettian,19000,20730,"14C (radiocarbon) dating, fauna, geology (based on position of layers)",NA,863,0,NA,0,0,0.08806,0,0.2584,0.00116,0.04635,0,0,0.5956,0,0,0,0,0,0,0,0,0.01043,0,0,24183,1,863,24000,0.378656596
8415,Payre,Payre unit D large mammals,Unit D1,France,collapsed cave,4.736381,44.731856,MP/ Middle Paleolithic - Eurasia,115000,178000,"biostratigraphy (small mammal), U series (uranium-thorium) dating, biostratigraphy (large mammal), ESR (electron spin resonance) dating",45813,1118,13,NA,0,0,0.02081,0.019,0.00724,0.01267,0.19186,0,0.01448,0.04796,0,0.00724,0,0,0.00543,0,0,0.0724,0.22262,0.21176,0.01357,141032,0.89409804,1105,141000,NA
8418,Payre,Payre unit D micro-and malacofauna,Unit D1,France,collapsed cave,4.736381,44.731856,MP/ Middle Paleolithic - Eurasia,115000,178000,"biostratigraphy (small mammal), U series (uranium-thorium) dating, biostratigraphy (large mammal), ESR (electron spin resonance) dating",45813,105,100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141032,0.89409804,5,141000,NA
8449,Pilanduk Cave,"Pilanduk Cave, Trench 3, Layer I, Fauna",Layer 2,Philippines,cave,118.0769702,9.2988771,,16720,20550,14C (radiocarbon) dating,NA,214,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06542,0,0.00467,20308,0.998920988,214,20000,NA
8450,Pilanduk Cave,"Pilanduk Cave, Trench 3, Layer II, Fauna",Layer 2,Philippines,cave,118.0769702,9.2988771,,16720,20550,14C (radiocarbon) dating,NA,343,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04399,0,0.01173,20308,0.998920988,341,20000,NA
